"expense_category","household_type","annual_cost","state_name"
"Other","2 Adults (One Working) 3 Children",4905,"California"
"Required annual income after taxes","2 Adults (One Working) 3 Children",55841,"California"
"Annual taxes","2 Adults (One Working) 3 Children",7550,"California"
"Required annual income before taxes","2 Adults (One Working) 3 Children",63391,"California"
"Food","2 Adults",6612,"California"
"Child Care","2 Adults",0,"California"
"Medical","2 Adults",4817,"California"
"Housing","2 Adults",12443,"California"
"Transportation","2 Adults",7382,"California"
"Other","2 Adults",3971,"California"
"Required annual income after taxes","2 Adults",35226,"California"
"Annual taxes","2 Adults",4763,"California"
"Required annual income before taxes","2 Adults",39988,"California"
"Food","2 Adults 1 Child",8234,"California"
"Child Care","2 Adults 1 Child",7312,"California"
"Medical","2 Adults 1 Child",6151,"California"
"Housing","2 Adults 1 Child",15939,"California"
"Transportation","2 Adults 1 Child",8509,"California"
"Other","2 Adults 1 Child",4344,"California"
"Required annual income after taxes","2 Adults 1 Child",50489,"California"
"Annual taxes","2 Adults 1 Child",6826,"California"
"Required annual income before taxes","2 Adults 1 Child",57315,"California"
"Food","2 Adults 2 Children",10627,"California"
"Child Care","2 Adults 2 Children",9869,"California"
"Medical","2 Adults 2 Children",6215,"California"
"Housing","2 Adults 2 Children",15939,"California"
"Transportation","2 Adults 2 Children",9970,"California"
"Other","2 Adults 2 Children",5250,"California"
"Required annual income after taxes","2 Adults 2 Children",57870,"California"
"Annual taxes","2 Adults 2 Children",7824,"California"
"Required annual income before taxes","2 Adults 2 Children",65694,"California"
"Food","2 Adults 3 Children",12932,"California"
"Child Care","2 Adults 3 Children",12426,"California"
"Medical","2 Adults 3 Children",6182,"California"
"Housing","2 Adults 3 Children",22296,"California"
"Transportation","2 Adults 3 Children",9525,"California"
"Other","2 Adults 3 Children",4905,"California"
"Required annual income after taxes","2 Adults 3 Children",68267,"California"
"Annual taxes","2 Adults 3 Children",9230,"California"
"Required annual income before taxes","2 Adults 3 Children",77497,"California"
"Food","1 Adult",3607,"Colorado"
"Child Care","1 Adult",0,"Colorado"
"Medical","1 Adult",2172,"Colorado"
"Housing","1 Adult",7030,"Colorado"
"Transportation","1 Adult",4054,"Colorado"
"Other","1 Adult",2284,"Colorado"
"Required annual income after taxes","1 Adult",19146,"Colorado"
"Annual taxes","1 Adult",3092,"Colorado"
"Required annual income before taxes","1 Adult",22238,"Colorado"
"Food","1 Adult 1 Child",5319,"Colorado"
"Child Care","1 Adult 1 Child",8386,"Colorado"
"Medical","1 Adult 1 Child",6167,"Colorado"
"Housing","1 Adult 1 Child",10884,"Colorado"
"Transportation","1 Adult 1 Child",7382,"Colorado"
"Other","1 Adult 1 Child",3971,"Colorado"
"Required annual income after taxes","1 Adult 1 Child",42110,"Colorado"
"Annual taxes","1 Adult 1 Child",6801,"Colorado"
"Required annual income before taxes","1 Adult 1 Child",48911,"Colorado"
"Food","1 Adult 2 Children",8002,"Colorado"
"Child Care","1 Adult 2 Children",12733,"Colorado"
"Medical","1 Adult 2 Children",5956,"Colorado"
"Housing","1 Adult 2 Children",10884,"Colorado"
"Transportation","1 Adult 2 Children",8509,"Colorado"
"Other","1 Adult 2 Children",4344,"Colorado"
"Required annual income after taxes","1 Adult 2 Children",50427,"Colorado"
"Annual taxes","1 Adult 2 Children",8144,"Colorado"
"Required annual income before taxes","1 Adult 2 Children",58571,"Colorado"
"Food","1 Adult 3 Children",10607,"Colorado"
"Child Care","1 Adult 3 Children",17079,"Colorado"
"Medical","1 Adult 3 Children",6020,"Colorado"
"Housing","1 Adult 3 Children",15787,"Colorado"
"Transportation","1 Adult 3 Children",9970,"Colorado"
"Other","1 Adult 3 Children",5250,"Colorado"
"Required annual income after taxes","1 Adult 3 Children",64714,"Colorado"
"Annual taxes","1 Adult 3 Children",10451,"Colorado"
"Required annual income before taxes","1 Adult 3 Children",75165,"Colorado"
"Food","2 Adults (One Working)",6612,"Colorado"
"Child Care","2 Adults (One Working)",0,"Colorado"
"Medical","2 Adults (One Working)",4561,"Colorado"
"Housing","2 Adults (One Working)",8466,"Colorado"
"Transportation","2 Adults (One Working)",7382,"Colorado"
"Other","2 Adults (One Working)",3971,"Colorado"
"Required annual income after taxes","2 Adults (One Working)",30992,"Colorado"
"Annual taxes","2 Adults (One Working)",5005,"Colorado"
"Required annual income before taxes","2 Adults (One Working)",35998,"Colorado"
"Food","2 Adults (One Working) 1 Child",8234,"Colorado"
"Child Care","2 Adults (One Working) 1 Child",0,"Colorado"
"Medical","2 Adults (One Working) 1 Child",5956,"Colorado"
"Housing","2 Adults (One Working) 1 Child",10884,"Colorado"
"Transportation","2 Adults (One Working) 1 Child",8509,"Colorado"
"Other","2 Adults (One Working) 1 Child",4344,"Colorado"
"Required annual income after taxes","2 Adults (One Working) 1 Child",37926,"Colorado"
"Annual taxes","2 Adults (One Working) 1 Child",6125,"Colorado"
"Required annual income before taxes","2 Adults (One Working) 1 Child",44051,"Colorado"
"Food","2 Adults (One Working) 2 Children",10627,"Colorado"
"Child Care","2 Adults (One Working) 2 Children",0,"Colorado"
"Medical","2 Adults (One Working) 2 Children",6020,"Colorado"
"Housing","2 Adults (One Working) 2 Children",10884,"Colorado"
"Transportation","2 Adults (One Working) 2 Children",9970,"Colorado"
"Other","2 Adults (One Working) 2 Children",5250,"Colorado"
"Required annual income after taxes","2 Adults (One Working) 2 Children",42751,"Colorado"
"Annual taxes","2 Adults (One Working) 2 Children",6904,"Colorado"
"Required annual income before taxes","2 Adults (One Working) 2 Children",49655,"Colorado"
"Food","2 Adults (One Working) 3 Children",12932,"Colorado"
"Child Care","2 Adults (One Working) 3 Children",0,"Colorado"
"Medical","2 Adults (One Working) 3 Children",5987,"Colorado"
"Housing","2 Adults (One Working) 3 Children",15787,"Colorado"
"Transportation","2 Adults (One Working) 3 Children",9525,"Colorado"
"Other","2 Adults (One Working) 3 Children",4905,"Colorado"
"Required annual income after taxes","2 Adults (One Working) 3 Children",49137,"Colorado"
"Annual taxes","2 Adults (One Working) 3 Children",7936,"Colorado"
"Required annual income before taxes","2 Adults (One Working) 3 Children",57072,"Colorado"
"Food","2 Adults",6612,"Colorado"
"Child Care","2 Adults",0,"Colorado"
"Medical","2 Adults",4561,"Colorado"
"Housing","2 Adults",8466,"Colorado"
"Transportation","2 Adults",7382,"Colorado"
"Other","2 Adults",3971,"Colorado"
"Required annual income after taxes","2 Adults",30992,"Colorado"
"Annual taxes","2 Adults",5005,"Colorado"
"Required annual income before taxes","2 Adults",35998,"Colorado"
"Food","2 Adults 1 Child",8234,"Colorado"
"Child Care","2 Adults 1 Child",8386,"Colorado"
"Medical","2 Adults 1 Child",5956,"Colorado"
"Housing","2 Adults 1 Child",10884,"Colorado"
"Transportation","2 Adults 1 Child",8509,"Colorado"
"Other","2 Adults 1 Child",4344,"Colorado"
"Required annual income after taxes","2 Adults 1 Child",46312,"Colorado"
"Annual taxes","2 Adults 1 Child",7479,"Colorado"
"Required annual income before taxes","2 Adults 1 Child",53792,"Colorado"
"Food","2 Adults 2 Children",10627,"Colorado"
"Child Care","2 Adults 2 Children",12733,"Colorado"
"Medical","2 Adults 2 Children",6020,"Colorado"
"Housing","2 Adults 2 Children",10884,"Colorado"
"Transportation","2 Adults 2 Children",9970,"Colorado"
"Other","2 Adults 2 Children",5250,"Colorado"
"Required annual income after taxes","2 Adults 2 Children",55484,"Colorado"
"Annual taxes","2 Adults 2 Children",8961,"Colorado"
"Required annual income before taxes","2 Adults 2 Children",64444,"Colorado"
"Food","2 Adults 3 Children",12932,"Colorado"
"Child Care","2 Adults 3 Children",17079,"Colorado"
"Medical","2 Adults 3 Children",5987,"Colorado"
"Housing","2 Adults 3 Children",15787,"Colorado"
"Transportation","2 Adults 3 Children",9525,"Colorado"
"Other","2 Adults 3 Children",4905,"Colorado"
"Required annual income after taxes","2 Adults 3 Children",66216,"Colorado"
"Annual taxes","2 Adults 3 Children",10694,"Colorado"
"Required annual income before taxes","2 Adults 3 Children",76910,"Colorado"
"Food","1 Adult",3509,"Connecticut"
"Child Care","1 Adult",0,"Connecticut"
"Medical","1 Adult",2520,"Connecticut"
"Housing","1 Adult",9482,"Connecticut"
"Transportation","1 Adult",3764,"Connecticut"
"Other","1 Adult",2096,"Connecticut"
"Required annual income after taxes","1 Adult",21372,"Connecticut"
"Annual taxes","1 Adult",3531,"Connecticut"
"Required annual income before taxes","1 Adult",24902,"Connecticut"
"Food","1 Adult 1 Child",5176,"Connecticut"
"Child Care","1 Adult 1 Child",9562,"Connecticut"
"Medical","1 Adult 1 Child",7389,"Connecticut"
"Housing","1 Adult 1 Child",14427,"Connecticut"
"Transportation","1 Adult 1 Child",6855,"Connecticut"
"Other","1 Adult 1 Child",3644,"Connecticut"
"Required annual income after taxes","1 Adult 1 Child",47054,"Connecticut"
"Annual taxes","1 Adult 1 Child",7773,"Connecticut"
"Required annual income before taxes","1 Adult 1 Child",54827,"Connecticut"
"Food","1 Adult 2 Children",7786,"Connecticut"
"Child Care","1 Adult 2 Children",14062,"Connecticut"
"Medical","1 Adult 2 Children",7178,"Connecticut"
"Housing","1 Adult 2 Children",14427,"Connecticut"
"Transportation","1 Adult 2 Children",7901,"Connecticut"
"Other","1 Adult 2 Children",3987,"Connecticut"
"Required annual income after taxes","1 Adult 2 Children",55341,"Connecticut"
"Annual taxes","1 Adult 2 Children",9142,"Connecticut"
"Required annual income before taxes","1 Adult 2 Children",64483,"Connecticut"
"Food","1 Adult 3 Children",10321,"Connecticut"
"Child Care","1 Adult 3 Children",18562,"Connecticut"
"Medical","1 Adult 3 Children",7242,"Connecticut"
"Housing","1 Adult 3 Children",18141,"Connecticut"
"Transportation","1 Adult 3 Children",9258,"Connecticut"
"Other","1 Adult 3 Children",4819,"Connecticut"
"Required annual income after taxes","1 Adult 3 Children",68343,"Connecticut"
"Annual taxes","1 Adult 3 Children",11290,"Connecticut"
"Required annual income before taxes","1 Adult 3 Children",79633,"Connecticut"
"Food","2 Adults (One Working)",6434,"Connecticut"
"Child Care","2 Adults (One Working)",0,"Connecticut"
"Medical","2 Adults (One Working)",5049,"Connecticut"
"Housing","2 Adults (One Working)",11415,"Connecticut"
"Transportation","2 Adults (One Working)",6855,"Connecticut"
"Other","2 Adults (One Working)",3644,"Connecticut"
"Required annual income after taxes","2 Adults (One Working)",33398,"Connecticut"
"Annual taxes","2 Adults (One Working)",5517,"Connecticut"
"Required annual income before taxes","2 Adults (One Working)",38915,"Connecticut"
"Food","2 Adults (One Working) 1 Child",8011,"Connecticut"
"Child Care","2 Adults (One Working) 1 Child",0,"Connecticut"
"Medical","2 Adults (One Working) 1 Child",7178,"Connecticut"
"Housing","2 Adults (One Working) 1 Child",14427,"Connecticut"
"Transportation","2 Adults (One Working) 1 Child",7901,"Connecticut"
"Other","2 Adults (One Working) 1 Child",3987,"Connecticut"
"Required annual income after taxes","2 Adults (One Working) 1 Child",41504,"Connecticut"
"Annual taxes","2 Adults (One Working) 1 Child",6856,"Connecticut"
"Required annual income before taxes","2 Adults (One Working) 1 Child",48360,"Connecticut"
"Food","2 Adults (One Working) 2 Children",10339,"Connecticut"
"Child Care","2 Adults (One Working) 2 Children",0,"Connecticut"
"Medical","2 Adults (One Working) 2 Children",7242,"Connecticut"
"Housing","2 Adults (One Working) 2 Children",14427,"Connecticut"
"Transportation","2 Adults (One Working) 2 Children",9258,"Connecticut"
"Other","2 Adults (One Working) 2 Children",4819,"Connecticut"
"Required annual income after taxes","2 Adults (One Working) 2 Children",46085,"Connecticut"
"Annual taxes","2 Adults (One Working) 2 Children",7613,"Connecticut"
"Required annual income before taxes","2 Adults (One Working) 2 Children",53698,"Connecticut"
"Food","2 Adults (One Working) 3 Children",12583,"Connecticut"
"Child Care","2 Adults (One Working) 3 Children",0,"Connecticut"
"Medical","2 Adults (One Working) 3 Children",7209,"Connecticut"
"Housing","2 Adults (One Working) 3 Children",18141,"Connecticut"
"Transportation","2 Adults (One Working) 3 Children",8845,"Connecticut"
"Other","2 Adults (One Working) 3 Children",4502,"Connecticut"
"Required annual income after taxes","2 Adults (One Working) 3 Children",51280,"Connecticut"
"Annual taxes","2 Adults (One Working) 3 Children",8471,"Connecticut"
"Required annual income before taxes","2 Adults (One Working) 3 Children",59752,"Connecticut"
"Food","2 Adults",6434,"Connecticut"
"Child Care","2 Adults",0,"Connecticut"
"Medical","2 Adults",5049,"Connecticut"
"Housing","2 Adults",11415,"Connecticut"
"Transportation","2 Adults",6855,"Connecticut"
"Other","2 Adults",3644,"Connecticut"
"Required annual income after taxes","2 Adults",33398,"Connecticut"
"Annual taxes","2 Adults",5517,"Connecticut"
"Required annual income before taxes","2 Adults",38915,"Connecticut"
"Food","2 Adults 1 Child",8011,"Connecticut"
"Child Care","2 Adults 1 Child",9562,"Connecticut"
"Medical","2 Adults 1 Child",7178,"Connecticut"
"Housing","2 Adults 1 Child",14427,"Connecticut"
"Transportation","2 Adults 1 Child",7901,"Connecticut"
"Other","2 Adults 1 Child",3987,"Connecticut"
"Required annual income after taxes","2 Adults 1 Child",51066,"Connecticut"
"Annual taxes","2 Adults 1 Child",8436,"Connecticut"
"Required annual income before taxes","2 Adults 1 Child",59502,"Connecticut"
"Food","2 Adults 2 Children",10339,"Connecticut"
"Child Care","2 Adults 2 Children",14062,"Connecticut"
"Medical","2 Adults 2 Children",7242,"Connecticut"
"Housing","2 Adults 2 Children",14427,"Connecticut"
"Transportation","2 Adults 2 Children",9258,"Connecticut"
"Other","2 Adults 2 Children",4819,"Connecticut"
"Required annual income after taxes","2 Adults 2 Children",60147,"Connecticut"
"Annual taxes","2 Adults 2 Children",9936,"Connecticut"
"Required annual income before taxes","2 Adults 2 Children",70084,"Connecticut"
"Food","2 Adults 3 Children",12583,"Connecticut"
"Child Care","2 Adults 3 Children",18562,"Connecticut"
"Medical","2 Adults 3 Children",7209,"Connecticut"
"Housing","2 Adults 3 Children",18141,"Connecticut"
"Transportation","2 Adults 3 Children",8845,"Connecticut"
"Other","2 Adults 3 Children",4502,"Connecticut"
"Required annual income after taxes","2 Adults 3 Children",69842,"Connecticut"
"Annual taxes","2 Adults 3 Children",11538,"Connecticut"
"Required annual income before taxes","2 Adults 3 Children",81380,"Connecticut"
"Food","1 Adult",3022,"Delaware"
"Child Care","1 Adult",0,"Delaware"
"Medical","1 Adult",2443,"Delaware"
"Housing","1 Adult",8640,"Delaware"
"Transportation","1 Adult",4697,"Delaware"
"Other","1 Adult",2253,"Delaware"
"Required annual income after taxes","1 Adult",21055,"Delaware"
"Annual taxes","1 Adult",3247,"Delaware"
"Required annual income before taxes","1 Adult",24301,"Delaware"
"Food","1 Adult 1 Child",4457,"Delaware"
"Child Care","1 Adult 1 Child",6034,"Delaware"
"Medical","1 Adult 1 Child",6813,"Delaware"
"Housing","1 Adult 1 Child",12339,"Delaware"
"Transportation","1 Adult 1 Child",8554,"Delaware"
"Other","1 Adult 1 Child",3916,"Delaware"
"Required annual income after taxes","1 Adult 1 Child",42113,"Delaware"
